,Population2010,MHLTH_AdjPrev,Latitude,Longitude,E_GR_AV14,E_GR_AT14,SDG_A2G14,SDG_OS15MX,P15,B15,BUCAP15,GDP15_SM,E_WR_T_14,State,INCM_CMI,DEV_CMI,E_BM_NM_LST,Cities in Urban Center_copy
63,197899,13.6,34.2174855,-119.2091316,0.299903009,135.2245778,0.036198658,28.65,297806.3934,97.0435257,325.8611227,10745822208.0,17.05357695,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Oxnard; Ventura
64,152750,14.5,34.58484845,-118.1317197,0.247125702,146.5043985,0.002526011,32.63,277181.2072,99.03132629,357.2800887,9413058560.0,15.09001136,CA,HIC,MDR,Deserts and Xeric Shrublands,Palmdale; Lancaster
65,137122,10.5,33.95381355,-117.9539253,0.293597406,5618.920221,0.019451497,17.76,14281719.8,4632.77002,324.3846039,564483000000.0,17.60802174,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Los Angeles; Long Beach; Anaheim; Santa Ana; Riverside; Irvine; Glendale; San Bernardino; Fontana; Huntington Beach; Ontario; Garden Grove; Rancho Cucamonga; Pomona; Corona; Torrance; Pasadena; Fullerton; Orange; Inglewood; Downey; El Monte; Costa Mesa; N
66,68386,15.1,33.81242342,-117.212892,0.259491041,26.17796712,0.000573549,46.5,63293.69495,13.9107666,219.7812375,1785082752.0,18.12471008,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Perris
67,149058,13.8,33.95381355,-117.9539253,0.293597406,5618.920221,0.019451497,17.76,14281719.8,4632.77002,324.3846039,564483000000.0,17.60802174,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Los Angeles; Long Beach; Anaheim; Santa Ana; Riverside; Irvine; Glendale; San Bernardino; Fontana; Huntington Beach; Ontario; Garden Grove; Rancho Cucamonga; Pomona; Corona; Torrance; Pasadena; Fullerton; Orange; Inglewood; Downey; El Monte; Costa Mesa; N
68,165269,10.7,33.95381355,-117.9539253,0.293597406,5618.920221,0.019451497,17.76,14281719.8,4632.77002,324.3846039,564483000000.0,17.60802174,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Los Angeles; Long Beach; Anaheim; Santa Ana; Riverside; Irvine; Glendale; San Bernardino; Fontana; Huntington Beach; Ontario; Garden Grove; Rancho Cucamonga; Pomona; Corona; Torrance; Pasadena; Fullerton; Orange; Inglewood; Downey; El Monte; Costa Mesa; N
69,76815,10.6,37.32711544,-121.9332989,0.306727058,1713.386499,0.042396863,23.88,4604961.31,1307.057861,283.8368823,176059000000.0,15.53486609,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto
70,103701,13.1,37.32711544,-121.9332989,0.306727058,1713.386499,0.042396863,23.88,4604961.31,1307.057861,283.8368823,176059000000.0,15.53486609,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto
71,303871,13.2,33.95381355,-117.9539253,0.293597406,5618.920221,0.019451497,17.76,14281719.8,4632.77002,324.3846039,564483000000.0,17.60802174,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Los Angeles; Long Beach; Anaheim; Santa Ana; Riverside; Irvine; Glendale; San Bernardino; Fontana; Huntington Beach; Ontario; Garden Grove; Rancho Cucamonga; Pomona; Corona; Torrance; Pasadena; Fullerton; Orange; Inglewood; Downey; El Monte; Costa Mesa; N
72,466488,13.0,38.60280713,-121.3875759,0.376331851,808.6084062,0.126231255,30.6,1528104.298,562.8466187,368.3299756,56179085312.0,17.10165453,CA,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Sacramento
